investor_name,score,distance,investments,neighbors
GV,1.0,0,914,<generator object Runner.run.<locals>.<genexpr> at 0x100d2eff0>
XN,0.2352203583660652,1,16,<generator object Runner.run.<locals>.<genexpr> at 0x117236570>
01A,0.23144243439989004,1,38,<generator object Runner.run.<locals>.<genexpr> at 0x117236420>
14W,0.2434382311275299,1,73,<generator object Runner.run.<locals>.<genexpr> at 0x117236030>
1kx,0.16283305845142954,1,34,<generator object Runner.run.<locals>.<genexpr> at 0x11dbb8e40>
8VC,0.2799532134182301,1,308,<generator object Runner.run.<locals>.<genexpr> at 0x11dbb8eb0>
ADQ,0.15228198648602856,1,11,<generator object Runner.run.<locals>.<genexpr> at 0x11dbb8f20>
CPE,0.06441647417279063,1,75,<generator object Runner.run.<locals>.<genexpr> at 0x11dbb8f90>
CRG,0.13935373184939262,1,58,<generator object Runner.run.<locals>.<genexpr> at 0x11dbb9000>
DNB,0.05715461128684917,2,21,<generator object Runner.run.<locals>.<genexpr> at 0x11dbb9070>
FMO,0.08460142953884446,1,81,<generator object Runner.run.<locals>.<genexpr> at 0x11dbb90e0>
FTX,0.17612262038710613,1,12,<generator object Runner.run.<locals>.<genexpr> at 0x11dbb9150>
GIC,0.19572940970789945,1,216,<generator object Runner.run.<locals>.<genexpr> at 0x11dbb91c0>
GSR,0.13210480899840493,1,15,<generator object Runner.run.<locals>.<genexpr> at 0x11dbb9230>
H14,0.16195243446170574,1,44,<generator object Runner.run.<locals>.<genexpr> at 0x11dbb92a0>
KfW,0.049873068368230904,1,169,<generator object Runner.run.<locals>.<genexpr> at 0x11dbb9310>
M13,0.20502814840660025,1,82,<generator object Runner.run.<locals>.<genexpr> at 0x11dbb9380>
NFX,0.20061288374628364,1,265,<generator object Runner.run.<locals>.<genexpr> at 0x11dbb93f0>
PMV,0.047048789527664774,1,81,<generator object Runner.run.<locals>.<genexpr> at 0x11dbb9460>
REV,0.2788813140569051,1,59,<generator object Runner.run.<locals>.<genexpr> at 0x11dbb94d0>
SAP,0.2769031165284022,1,27,<generator object Runner.run.<locals>.<genexpr> at 0x11dbb9540>
STV,0.06789637864392385,1,25,<generator object Runner.run.<locals>.<genexpr> at 0x11dbb95b0>
TCV,0.28412229397321426,1,376,<generator object Runner.run.<locals>.<genexpr> at 0x11dbb9620>
TPG,0.2204740206881736,1,186,<generator object Runner.run.<locals>.<genexpr> at 0x11dbb9690>
CIBC,0.11026897788966494,1,41,<generator object Runner.run.<locals>.<genexpr> at 0x11dbb9700>
CPMG,0.09301592715998984,1,12,<generator object Runner.run.<locals>.<genexpr> at 0x11dbb9770>
Citi,0.22154719032142578,1,118,<generator object Runner.run.<locals>.<genexpr> at 0x11dbb97e0>
DHVC,0.30107352023018824,1,186,<generator object Runner.run.<locals>.<genexpr> at 0x11dbb9850>
DTCP,0.20283821151968262,1,83,<generator object Runner.run.<locals>.<genexpr> at 0x11dbb98c0>
E.ON,0.27144271392484726,1,26,<generator object Runner.run.<locals>.<genexpr> at 0x11dbb9930>
EDBI,0.20908425984291046,1,140,<generator object Runner.run.<locals>.<genexpr> at 0x11dbb99a0>
GBIC,0.04568727335813958,2,18,<generator object Runner.run.<locals>.<genexpr> at 0x11dbb9a10>
GREE,0.12885556324213782,1,43,<generator object Runner.run.<locals>.<genexpr> at 0x11dbb9a80>
Gimv,0.11295341259528653,1,171,<generator object Runner.run.<locals>.<genexpr> at 0x11dbb9af0>
HSBC,0.13331090326069844,1,136,<generator object Runner.run.<locals>.<genexpr> at 0x11dbb9b60>
K1W1,0.27787012316442317,1,43,<generator object Runner.run.<locals>.<genexpr> at 0x11dbb9bd0>
K2VC,0.08582494805670653,1,230,<generator object Runner.run.<locals>.<genexpr> at 0x11dbb9c40>
LVMH,0.3637258997752522,1,11,<generator object Runner.run.<locals>.<genexpr> at 0x11dbb9cb0>
Meta,0.12146838566916818,1,41,<generator object Runner.run.<locals>.<genexpr> at 0x11dbb9d20>
OKEx,0.08950506722816191,1,16,<generator object Runner.run.<locals>.<genexpr> at 0x11dbb9d90>
RGAx,0.1369817325350155,1,21,<generator object Runner.run.<locals>.<genexpr> at 0x11dbb9e00>
SEEK,0.13978650393422454,1,41,<generator object Runner.run.<locals>.<genexpr> at 0x11dbb9e70>
SOSV,0.11532830532629401,1,2132,<generator object Runner.run.<locals>.<genexpr> at 0x11dbb9ee0>
TIAA,0.28416877689136827,1,19,<generator object Runner.run.<locals>.<genexpr> at 0x11dbb9f50>
TRGC,0.06202103527570655,1,28,<generator object Runner.run.<locals>.<genexpr> at 0x11dbb9fc0>
Accel,1.0,0,1717,<generator object Runner.run.<locals>.<genexpr> at 0x11dbba030>
Adobe,0.18896444474565208,1,26,<generator object Runner.run.<locals>.<genexpr> at 0x11dbba0a0>
Aster,0.08653882256794633,1,184,<generator object Runner.run.<locals>.<genexpr> at 0x11dbba110>
Cisco,0.3397940156860424,1,369,<generator object Runner.run.<locals>.<genexpr> at 0x11dbba180>
Faber,0.259607426402457,1,33,<generator object Runner.run.<locals>.<genexpr> at 0x11dbba1f0>
Invus,0.14214234118807034,1,153,<generator object Runner.run.<locals>.<genexpr> at 0x11dbba260>
Naver,0.09869695962563844,1,54,<generator object Runner.run.<locals>.<genexpr> at 0x11dbba2d0>
Otiva,0.15609567765745785,1,19,<generator object Runner.run.<locals>.<genexpr> at 0x11dbba340>
PIMCO,0.10209150599411494,2,11,<generator object Runner.run.<locals>.<genexpr> at 0x11dbba3b0>
PROOF,0.22108405093796665,1,77,<generator object Runner.run.<locals>.<genexpr> at 0x11dbba420>
SFUND,0.04363838825502083,2,28,<generator object Runner.run.<locals>.<genexpr> at 0x11dbba490>
STCAP,0.19145412703435216,1,17,<generator object Runner.run.<locals>.<genexpr> at 0x11dbba500>
Wayra,0.11136321528061459,1,1190,<generator object Runner.run.<locals>.<genexpr> at 0x11dbba570>
3Lines,0.06288456809160585,2,24,<generator object Runner.run.<locals>.<genexpr> at 0x11dbba5e0>
AKITUA,0.12661876153859383,1,15,<generator object Runner.run.<locals>.<genexpr> at 0x11dbba650>
Amazon,0.2740496165454043,1,111,<generator object Runner.run.<locals>.<genexpr> at 0x11dbba6c0>
Coatue,0.28707621211238726,1,303,<generator object Runner.run.<locals>.<genexpr> at 0x11dbba730>
E-Fund,0.05329948660349368,1,47,<generator object Runner.run.<locals>.<genexpr> at 0x11dbba7a0>
Google,0.26245383949507334,1,149,<generator object Runner.run.<locals>.<genexpr> at 0x11dbba810>
Hashed,0.1410965831761978,1,81,<generator object Runner.run.<locals>.<genexpr> at 0x11dbba880>
Jovono,0.2130513618765519,1,16,<generator object Runner.run.<locals>.<genexpr> at 0x11dbba8f0>
Kaszek,0.19717925134649383,1,178,<generator object Runner.run.<locals>.<genexpr> at 0x11dbba960>
NVIDIA,0.2753312775758188,1,21,<generator object Runner.run.<locals>.<genexpr> at 0x11dbba9d0>
Next47,0.22305435789028302,1,242,<generator object Runner.run.<locals>.<genexpr> at 0x11dbbaa40>
Noaber,0.07494255247669375,2,13,<generator object Runner.run.<locals>.<genexpr> at 0x11dbbaab0>
Oracle,0.4392935250270783,1,41,<generator object Runner.run.<locals>.<genexpr> at 0x11dbbab20>
Orange,0.2281493037546546,1,16,<generator object Runner.run.<locals>.<genexpr> at 0x11dbbab90>
SR One,0.130422428718513,1,162,<generator object Runner.run.<locals>.<genexpr> at 0x11dbbac00>
Seedrs,0.06282625100100264,1,289,<generator object Runner.run.<locals>.<genexpr> at 0x11dbbac70>
Serena,0.15194406864821036,1,103,<generator object Runner.run.<locals>.<genexpr> at 0x11dbbace0>
Sky UK,0.28739727173442386,1,38,<generator object Runner.run.<locals>.<genexpr> at 0x11dbbad50>
Sofina,0.2562090859567612,1,65,<generator object Runner.run.<locals>.<genexpr> at 0x11dbbadc0>
Stripe,0.2925185178211142,1,45,<generator object Runner.run.<locals>.<genexpr> at 0x11dbbae30>
